continent,name,latitude,longitude,capital_city,population,languages,currency,points_of_interest,geography_nature,neighbor_countries
Europe,Spain,40.4168,-3.7038,Madrid,"47,367,505 (2022)","Spanish (99%), Catalan (17%), Galician (7%), Basque (2%), Aranese (0.1%)",Euro (EUR),"Sagrada Familia, Park Guell, Royal Palace of Madrid","Sierra Nevada, Teide National Park, Pyrenees Mountains","Portugal, France, Andorra"
Europe,Sweden,60.1282,18.6435,Stockholm,"10,576,979 (2022)","Swedish (89%), Finnish (2.5%), Arabic (1%), Kurdish (0.5%), Spanish (0.5%)",Swedish Krona (SEK),"Vasa Museum, Skansen, Gamla Stan","Kebnekaise, Muddus National Park, Stockholm Archipelago","Norway, Finland"
Europe,Switzerland,46.8182,8.2275,Bern,"8,702,600 (2022)","German (63.7%), French (22.5%), Italian (8.1%), Romansh (0.5%), English (5.4%)",Swiss Franc (CHF),"Matterhorn, Jungfraujoch, Lake Geneva","Swiss Alps, Rhine River, Aletsch Glacier","Germany, Austria, Liechtenstein, Italy, France"
Europe,Ukraine,48.3794,31.1656,Kiev,"42,430,000 (2021)","Ukrainian (67.5%), Russian (29.6%)",Ukrainian hryvnia (UAH),"Saint Sophia Cathedral, Kiev-Pechersk Lavra, Independence Square","Carpathian Mountains, Crimean Peninsula, Dnieper River","Belarus, Russia, Poland, Slovakia, Hungary, Romania, Moldova"
Europe,United Kingdom,55.3781,-3.436,London,"68,207,116 (2021)",English (100%),Pound sterling (GBP),"Big Ben and the Houses of Parliament, Stonehenge, The British Museum","The Pennines, The Lake District, The Scottish Highlands",Ireland
North America,Antigua and Barbuda,17.0608,-61.7964,Saint John's,"97,929 (2021)",English (100%),Eastern Caribbean dollar,"Nelson's Dockyard National Park, Antigua's Donkey Sanctuary, Shirley Heights","Mount Obama, Falmouth Harbour, Nelson's Dockyard",None
North America,Bahamas,25.0343,-77.3963,Nassau,"393,244 (2021)","English (98.2%), Creole (1.8%)",Bahamian dollar,"Atlantis Paradise Island, Blue Lagoon Island, Exuma Cays Land and Sea Park","Andros Barrier Reef, Blue Holes National Park, Dean's Blue Hole","Cuba, United States, Turks and Caicos Islands"
North America,Barbados,13.1939,-59.5432,Bridgetown,"289,680 (2021)",English (100%),Barbadian dollar,"Harrison's Cave, St. Nicholas Abbey, Andromeda Botanic Gardens","Mount Hillaby, Bathsheba Beach, The Crane Beach","Saint Lucia, Saint Vincent and the Grenadines"
North America,Belize,17.1899,-88.4976,Belmopan,"404,914 (2021)","English (40%), Spanish (46%), Creole (4.5%), Maya (3.5%), Garifuna (3.1%), German (1.2%)",Belize dollar,"Belize Barrier Reef, Actun Tunichil Muknal Cave, Xunantunich","Blue Hole, Great Blue Hole, The Great Barrier Reef","Guatemala, Mexico"
North America,Canada,56.1304,-106.3468,Ottawa,"38,048,738 (2021)","English (56.9%), French (21.3%), Punjabi (1.6%), Mandarin (1.6%), Cantonese (1.2%), Spanish (1.1%)",Canadian dollar,"Niagara Falls, Banff National Park, CN Tower","Rocky Mountains, Canadian Shield, Saint Lawrence River",United States
North America,Costa Rica,9.7489,-83.7534,San José,"5,219,247 (2021)","Spanish (97.8%), English (1.0%), Creole (0.7%)",Costa Rican colón,"Arenal Volcano, Corcovado National Park, Monteverde Cloud Forest Reserve","Arenal Lake, Chirripó National Park, Cerro Chirripó","Nicaragua, Panama"
North America,Cuba,21.5218,-77.7812,Havana,"11,325,125 (2021)",Spanish (100%),Cuban peso,"Old Havana, Varadero Beach, Trinidad","Sierra Maestra, Viñales Valley, Zapata Swamp","Bahamas, United States, Mexico"
North America,Dominica,15.4147,-61.370976,Roseau,"71,625 (2021)",English (100%),East Caribbean Dollar,"Morne Trois Pitons National Park, Trafalgar Falls, Boiling Lake","Morne Diablotins, Boiling Lake, Morne Trois Pitons","Martinique (to the south), Guadeloupe (to the north)"
North America,Dominican Republic,18.7357,-70.1627,Santo Domingo,"10,847,910 (2021)",Spanish (100%),Dominican Peso,"Punta Cana, Santo Domingo, Puerto Plata","Pico Duarte, Yaque del Norte River, Lago Enriquillo","Haiti (to the west), Puerto Rico (to the east)"
North America,El Salvador,13.7942,-88.8965,San Salvador,"6,634,000 (2021)",Spanish (100%),United States Dollar,"Santa Ana Cathedral, Joya de Cerén, Tazumal","Coatepeque Caldera, Lake Ilopango, San Miguel Volcano","Guatemala (to the west and north), Honduras (to the north and east)"
North America,Greenland,71.7069,-42.6043,Nuuk,"56,225 (2021)","Greenlandic (88.8%), Danish (11.2%)",Danish Krone,"Ilulissat Icefjord, Kangerlussuaq, Sermilik Fjord","Northern Lights, Disko Island, Nuuk Icefjord","Canada (to the west), Iceland (to the east)"
North America,Grenada,12.1173,-61.679,St. George's,"112,003 (2021)",English (100%),East Caribbean Dollar,"Grand Anse Beach, St. George's, Underwater Sculpture Park","Mount St. Catherine, Seven Sisters Falls, Grand Etang National Park","Venezuela (to the north), Trinidad and Tobago (to the south)"
North America,Guatemala,14.6133,-90.5353,Guatemala City,"18,183,000 (2021)","Spanish (88.1%), K'iche' (7.8%), Kaqchikel (7.8%)",Guatemalan Quetzal,"Tikal, Antigua Guatemala, Lake Atitlán","Volcán Tajumulco, Lake Izabal, Sierra Madre de Chiapas","Mexico (to the north and west), Belize (to the east), Honduras and El Salvador (to the southeast)"
North America,Haiti,18.9712,-72.2852,Port-au-Prince,"11,574,000 (2021)","Haitian Creole (95%), French (5%)",Haitian gourde (HTG),"Citadelle Laferrière, Sans-Souci Palace, Bassin Bleu","Massif du Nord, Massif de la Hotte, La Selle Mountain Range",Dominican Republic
North America,Honduras,15.2,-86.2419,Tegucigalpa,"10,507,000 (2021)","Spanish (97%), Indigenous languages (3%)",Honduran lempira (HNL),"Copán Ruinas, Roatán, Rio Platano Biosphere Reserve","Sierra de Agalta, Cordillera del Tigre, Golfo de Fonseca","Guatemala, El Salvador, Nicaragua"
North America,Jamaica,18.1096,-77.2975,Kingston,"2,974,000 (2021)","English (98%), Jamaican Patois (Patwa) (95%)",Jamaican dollar (JMD),"Dunn's River Falls, Blue Mountain Peak, Bob Marley Museum","Blue Mountains, Cockpit Country, Montego Bay",None
North America,Mexico,23.6345,-102.5528,Mexico City,"132,328,000 (2021)","Spanish (98%), Indigenous languages (6%)",Mexican peso (MXN),"Chichen Itza, Tulum, Palenque","Sierra Madre Occidental, Sierra Madre Oriental, Yucatan Peninsula","United States, Guatemala, Belize"
North America,Nicaragua,12.8654,-85.2072,Managua,"6,702,000 (2021)","Spanish (97.5%), Indigenous languages (2.5%)",Nicaraguan córdoba (NIO),"Corn Islands, Masaya Volcano National Park, Leon Cathedral","Cordillera Isabelia, Cordillera Dipilto, Lake Nicaragua","Honduras, Costa Rica"
North America,Panama,8.538,-80.7821,Panama City,"4,468,000 (2021)","Spanish (93%), English (14%)",Panamanian balboa (PAB),"Panama Canal, San Blas Islands, Bocas del Toro","Cordillera Central, Serranía de Tabasará, Gulf of Panama","Costa Rica, Colombia"
North America,Saint Kitts and Nevis,17.3578,-62.7821,Basseterre,"52,441 (2021)",English (100%),Eastern Caribbean dollar (XCD),"Brimstone Hill Fortress, Nevis Peak, Frigate Bay","Mount Liamuiga, Mount Misery, Golden Rock",None
North America,Saint Lucia,13.9094,-60.9789,Castries,184000 (2021),"English (95%), French Patois (5%)",Eastern Caribbean Dollar,"Pitons, Pigeon Island National Park, Marigot Bay","Mount Gimie, Sulphur Springs, Anse Chastanet Beach","Martinique, Saint Vincent and the Grenadines"
North America,Saint Vincent and the Grenadines,13.2528,-61.1971,Kingstown,110200 (2021),"English (official), Vincentian Creole English",Eastern Caribbean Dollar,"Tobago Cays, Bequia Island, Montreal Gardens","La Soufriere, Petit Saint Vincent, Dark View Falls","Saint Lucia, Grenada"
North America,Trinidad and Tobago,10.6918,-61.2225,Port of Spain,1395000 (2021),"English (official), Trinidadian Creole, Tobagonian Creole",Trinidad and Tobago Dollar,"Maracas Bay, Caroni Bird Sanctuary, Fort George","Pigeon Point, Pitch Lake, Gasparee Caves","Grenada, Venezuela"
South America,Argentina,-38.4161,-63.6167,Buenos Aires,"45,195,774 (2021)","Spanish (98%), others",Argentine Peso (ARS),"Iguazu Falls, Perito Moreno Glacier, Quebrada de Humahuaca","Andes Mountains, Pampas, Patagonia","Bolivia, Brazil, Chile, Paraguay, Uruguay"
South America,Bolivia,-16.2902,-63.5887,"La Paz, Sucre","11,815,986 (2021)","Spanish (60%), others",Boliviano (BOB),"Salar de Uyuni, Tiwanaku, Yungas","Andes Mountains, Altiplano, Amazon Basin","Argentina, Brazil, Chile, Paraguay, Peru"
South America,Brazil,-14.235,-51.9253,Brasilia,"213,993,437 (2021)","Portuguese (99%), others",Brazilian Real (BRL),"Christ the Redeemer, Iguazu Falls, Amazon Rainforest","Amazon River, Atlantic Ocean, Pantanal Wetlands","Argentina, Bolivia, Colombia, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela"
South America,Chile,-35.6751,-71.543,Santiago,"19,458,310 (2021)","Spanish (99%), others",Chilean Peso (CLP),"Easter Island, Atacama Desert, Torres del Paine National Park","Andes Mountains, Pacific Ocean, Patagonia","Argentina, Bolivia, Peru"
South America,Colombia,4.5709,-74.2973,Bogota,"51,049,498 (2021)","Spanish (99%), others",Colombian Peso (COP),"Cartagena, Cocora Valley, Medellin","Andes Mountains, Amazon Basin, Caribbean Sea","Brazil, Ecuador, Panama, Peru, Venezuela"
South America,Ecuador,-1.8312,-78.1834,Quito,"17,524,088 (2021)","Spanish (93%), Quechua (4.1%), others",United States Dollar (USD),"Galapagos Islands, Otavalo Market, Cotopaxi National Park","Andes Mountains, Amazon Basin, Galapagos Islands","Colombia, Peru"
South America,Guyana,4.8604,-58.9302,Georgetown,"788,878 (2021)",English (100%),Guyanese Dollar (GYD),"Kaieteur Falls, Shell Beach, Mount Roraima","Amazon Basin, Guiana Highlands, Atlantic Ocean","Brazil, Suriname, Venezuela"
South America,Paraguay,-23.4425,-58.4438,Asunción,"7,252,672 (2021)","Spanish (87%), Guarani (36%)",Guaraní,"Itaipu Dam, Iguazu Falls, Jesuit Missions of La Santisima Trinidad de Parana","Chaco, Paraguay River","Argentina, Bolivia, Brazil"
South America,Peru,-9.19,-75.015,Lima,"33,105,000 (2021)","Spanish (84%), Quechua (13%)",Sol (PEN),"Machu Picchu, Cusco, Colca Canyon","Andes Mountains, Amazon River, Lake Titicaca","Ecuador, Colombia, Brazil, Bolivia, Chile"
South America,Suriname,3.919,-56.027,Paramaribo,"591,000 (2021)","Dutch (60%), Sranan Tongo (15%)",Surinamese Dollar (SRD),"Central Suriname Nature Reserve, Galibi Nature Reserve, Brownsberg Park","Suriname River, Coppename River, Brokopondo Reservoir","Guyana, French Guiana, Brazil"
South America,Uruguay,-32.522,-55.766,Montevideo,"3,462,000 (2021)",Spanish (100%),Uruguayan Peso (UYU),"Punta del Este, Colonia del Sacramento, Montevideo City","Rio de la Plata, Cerro Catedral, Laguna del Sauce","Argentina, Brazil"
South America,Venezuela,6.423,-66.591,Caracas,"28,835,000 (2021)",Spanish (100%),Bolívar (VES),"Angel Falls, Los Roques, Margarita Island","Andes Mountains, Lake Maracaibo, Orinoco River, Angel Falls, Mount Roraima, Canaima National Park, Guiana Highlands, Paraguana Peninsula","Colombia, Brazil, Guyana"
Africa,Algeria,36.752887,3.042048,Algiers,"43,851,044 (2021)",Arabic (100%),DZD,"Tassili n'Ajjer National Park, Djemila, Casbah of Algiers","Sahara Desert, Atlas Mountains, Tassili n'Ajjer","Tunisia, Libya, Niger, Mali, Mauritania, Western Sahara, Morocco"
Africa,Angola,-11.202692,17.873887,Luanda,"33,643,000 (2021)","Portuguese (71%), Umbundu (23%), Kikongo (8%)",AOA,"Kalandula Falls, Kissama National Park, Fortress of São Miguel","Namib Desert, Mount Moco, Okavango River","Democratic Republic of the Congo, Republic of the Congo, Zambia, Namibia"
Africa,Benin,9.30769,2.315834,Porto-Novo,"13,801,267 (2021)","French (39%), Fon (20%), Yoruba (12%), Adja (9%), Bariba (8%), Peulh (6%)",XOF,"Pendjari National Park, Ganvie, Royal Palaces of Abomey","Mono River, W National Park, Niger River","Togo, Burkina Faso, Niger, Nigeria"
Africa,Botswana,-22.328474,24.684866,Gaborone,"2,351,629 (2021)","Setswana (77%), Kalanga (7.7%), Sekgalagadi (2.8%), English (2.1%), Zezuru/Shona (1.8%)",BWP,"Okavango Delta, Chobe National Park, Tsodilo Hills","Kalahari Desert, Makgadikgadi Pans, Limpopo River","South Africa, Namibia, Zimbabwe, Zambia"
Africa,Burkina Faso,12.238333,-1.561593,Ouagadougou,"22,711,181 (2021)","French (29.5%), Mossi (50.2%), Dioula (3.9%), Peulh/Fulfulde (3.7%), Gurma (2.6%), Bissa (1.9%)",XOF,"W National Park of Burkina Faso, Sindou Peaks, Bangre-Weoogo Urban Park","Mouhoun River, Nakambé River, Niger River","Mali, Niger, Benin, Togo, Ghana, Côte d'Ivoire"
Africa,Burundi,-3.3731,29.9189,Gitega,"11,575,310 (2021)","Kirundi (85%), French (10%), English (1%)",Burundian franc (BIF),"Kibira National Park, Rusizi National Park, Karera Falls","Lake Tanganyika, Kagera River, Bururi Forest Reserve","Tanzania, Rwanda, Democratic Republic of the Congo"
Africa,Cabo Verde,15.1201,-23.6052,Praia,"549,935 (2021)","Portuguese (98%), Kriolu (32.1%), English (8.5%)",Cape Verdean escudo (CVE),"Sal Island, Fogo Island, Tarrafal","Mount Fogo, Boa Vista Island, Cape Verde Islands",
Africa,Cameroon,7.3697,12.3547,Yaoundé,"28,908,213 (2021)","French (80%), English (20%), Cameroonian Pidgin (5%)",Central African CFA franc (XAF),"Waza National Park, Dja Faunal Reserve, Korup National Park","Lake Chad, Mount Cameroon, Mandara Mountains","Nigeria, Chad, Central African Republic, Republic of the Congo, Gabon, Equatorial Guinea"
Africa,Central African Republic,6.6111,20.9394,Bangui,"4,919,981 (2021)","French (100%), Sango (90%)",Central African CFA franc (XAF),"Dzanga-Sangha National Park, Bamingui-Bangoran National Park, Manovo-Gounda St Floris National Park","Ubangi River, Chinko River, Ouham River","Cameroon, Chad, Sudan, South Sudan, Democratic Republic of the Congo, Republic of the Congo"
Africa,Chad,15.4542,18.7322,N'Djamena,"17,934,174 (2021)","French (36%), Arabic (15%), Sara (28%)",Central African CFA franc (XAF),"Zakouma National Park, Manda National Park, Ennedi Massif","Lake Chad, Tibesti Mountains, Ennedi Plateau","Libya, Sudan, Central African Republic, Cameroon, Nigeria, Niger"
Africa,Comoros,-11.6455,43.3333,Moroni,"832,322 (2021)",Comorian (78.6%),Comorian franc (KMF),"Mount Karthala, Mitsamiouli Beach, Chomoni Beach","Grande Comore, Mohéli, Anjouan, Mayotte","Madagascar, Mozambique, Tanzania"
Africa,Congo,-0.228,15.8277,Brazzaville,"5,518,087 (2021)",French (33.6%),Central African CFA franc (XAF),"Odzala-Kokoua National Park, Lesio-Louna Gorilla Reserve, Conkouati-Douli National Park","Congo River, Pool Malebo, Plateaux Batéké","Central African Republic, Cameroon"
Africa,"Congo, Democratic Republic of the",-4.0383,21.7587,Kinshasa,"101,780,263 (2021)","French (14%), Lingala (44.8%), Swahili (10.4%), Kongo (24.3%)",Congolese franc (CDF),"Virunga National Park, Lola Ya Bonobo, Salonga National Park","Congo River, Lake Tanganyika, Mount Nyiragongo","Central African Republic, Congo, Uganda, Rwanda, Burundi, Tanzania, Zambia, Angola"
Africa,Cote d'Ivoire,7.54,-5.5471,Yamoussoukro,"28,101,745 (2021)",French (35.9%),West African CFA franc (XOF),"Basilica of Our Lady of Peace, Comoe National Park, Tai National Park","Mount Nimba, Cavally River, Bandama River","Guinea, Liberia, Burkina Faso, Ghana, Mali"
Africa,Djibouti,11.8251,42.5903,Djibouti,"1,082,874 (2021)","Arabic (35%), French (25%), Afar (25%)",Djiboutian franc (DJF),"Lake Assal, Gulf of Tadjoura, Moucha Island","Grand Bara Desert, Gulf of Aden, Goda Mountains","Eritrea, Ethiopia, Somalia"
Africa,Egypt,30.0444,31.2357,Cairo,"102,334,404 (2021)",Arabic (100%),Egyptian pound (EGP),"Pyramids of Giza, Valley of the Kings, Abu Simbel","Nile River, Sahara Desert, Red Sea","Libya, Sudan, Israel, Palestine"
Africa,Equatorial Guinea,1.6508,10.2679,Malabo,"1,402,985 (2021)","Spanish (67.6%), French (15.2%), Portuguese (6.1%)",Central African CFA franc (XAF),"Pico Basile, Elobey Islands, Monte Alen National Park","Bioko Island, Mount Cameroon, Rio Muni","Cameroon, Gabon"
Africa,Eritrea,15.1794,39.7823,Asmara,"3,546,421 (2021)","Tigrinya (50%), Tigre (31%), Saho (7%)",Eritrean nakfa (ERN),"Dahlak Archipelago, Massawa, Asmara Cathedral","Red Sea, Great Rift Valley, Danakil Desert","Ethiopia, Sudan, Djibouti"
Africa,Eswatini,-26.5225,31.4659,Mbabane,"1,159,250 (2021)","Swazi (90.6%), English (2.9%), Zulu (2%)",Swazi lilangeni (SZL),"Mlilwane Wildlife Sanctuary, Hlane Royal National Park, Malolotja Nature Reserve","Makhonjwa Mountains, Lubombo Mountains, Usuthu River","Mozambique, South Africa"
Africa,Ethiopia,9.145,40.4897,Addis Ababa,"121,391,443 (2021)","Amharic (33.8%), Oromo (33.8%), Somali (6.2%)",Ethiopian birr (ETB),"Simien Mountains National Park, Lalibela, Danakil Depression","Great Rift Valley, Blue Nile River, Sof Omar Caves","Eritrea, Djibouti, Somalia, Kenya, South Sudan, Sudan"
Africa,Gabon,-0.8037,11.6094,Libreville,"2,304,913 (2021)","French (80%), Fang (32%), Myene (10%)",Central African CFA franc (XAF),"Loango National Park, Lopé National Park, Pongara National Park","Ivindo River, Ogooué River, Monts de Cristal National Park","Cameroon, Equatorial Guinea, Congo"
Africa,Gambia,13.4432,-15.3101,Banjul,"2,347,706 (2021)",English (100%),Gambian dalasi,"Kachikally Museum and Crocodile Pool, Abuko Nature Reserve, James Island and Related Sites","River Gambia, Makasutu Culture Forest, Fathala Wildlife Reserve","Senegal, Guinea-Bissau"
Africa,Ghana,7.9465,-1.0232,Accra,"32,586,651 (2021)","English (80%), Akan (11%), Ewe (8%), Other (1%)",Ghanaian cedi,"Cape Coast Castle, Kakum National Park, Lake Volta","Lake Bosomtwe, Mole National Park, Aburi Botanical Gardens","Ivory Coast, Burkina Faso, Togo"
Africa,Guinea,9.9456,-9.6966,Conakry,"13,292,187 (2021)","French (85%), Other (15%)",Guinean franc,"Mount Nimba Strict Nature Reserve, Les Cascades de la Soumba, Les Deux Voies de Boké","River Niger, Fouta Djallon, Mount Loura","Guinea-Bissau, Senegal, Mali, Ivory Coast, Liberia, Sierra Leone"
Africa,Guinea-Bissau,11.8037,-15.1804,Bissau,"2,024,283 (2021)",Portuguese (100%),West African CFA franc,"Bijagos Archipelago, Orango National Park, Bolama","Cacheu River, Cantanhez Forests, Dulombi-Boé Sector","Guinea, Senegal"
Africa,Kenya,-0.0236,37.9062,Nairobi,"54,985,698 (2021)","English (20%), Swahili (80%)",Kenyan shilling,"Masai Mara National Reserve, Amboseli National Park, Lake Nakuru National Park","Lake Victoria, Mount Kenya, Tsavo East National Park","Tanzania, Uganda, South Sudan, Ethiopia, Somalia"
Africa,Lesotho,-29.609988,28.233608,Maseru,"2,143,249 (2021)","Sesotho (99.7%), English (0.3%)",Lesotho loti,"Sehlabathebe National Park, Ts'ehlanyane National Park, Katse Dam","Maloti Mountains, Thaba-Bosiu Plateau, Sani Pass",South Africa
Africa,Liberia,6.4281,-9.4295,Monrovia,"5,057,681 (2021)",English (20%) Kpelle (19%) Bassa (14%) Gio (8%) Kru (7%) Mano (7%) Grebo (6%) Lorma (5%) Mandingo (4%) Gola (4%),Liberian dollar (LRD),"Sapo National Park, Kpatawee Waterfall, Providence Island","Saint John River, Mount Wuteve, Mount Nimba Range","Sierra Leone, Guinea, Côte d'Ivoire"
Africa,Libya,26.3351,17.2283,Tripoli,"6,955,483 (2021)",Arabic (95%) Berber (5%),Libyan dinar (LYD),"Leptis Magna, Sabratha, Acacus Mountains","Libyan Desert, Aouzou Strip, Gulf of Sidra","Tunisia, Algeria, Niger, Chad, Sudan, Egypt"
Africa,Madagascar,-18.7669,46.8691,Antananarivo,"29,702,208 (2021)",Malagasy (98%) French (official language),Malagasy ariary (MGA),"Ranomafana National Park, Isalo National Park, Andasibe-Mantadia National Park","Tsingy de Bemaraha, Andringitra National Park, Lake Alaotra","Mozambique, France (Réunion), Comoros"
Africa,Malawi,-13.2543,34.3015,Lilongwe,"19,129,952 (2021)",Chewa (32%) Lomwe (18%) Yao (14%) Ngoni (12%) Tumbuka (9%) Sena (3%) Tonga (2%),Malawian kwacha (MWK),"Lake Malawi, Liwonde National Park, Nyika National Park","Lake Malawi, Shire River, Zomba Plateau","Tanzania, Mozambique, Zambia"
Africa,Mali,17.5707,-3.9962,Bamako,"20,378,710 (2021)",French (official language) Bambara (46.3%) Fulfulde (9.4%) Songhay (6.4%) Dogon (6.4%) Soninke (6.1%) Tuareg (3.9%),West African CFA franc (XOF),"Djinguereber Mosque, Timbuktu, Dogon Country","Sahara Desert, Niger River, Bandiagara Escarpment","Algeria, Niger, Burkina Faso, Côte d'Ivoire, Guinea, Senegal, Mauritania"
Africa,Mauritania,20,-12,Nouakchott,"4,649,658 (2021)",Hassaniya Arabic (100%),Ouguiya,"Parc National du Banc d'Arguin, Terjit Oasis, Chinguetti","Sahara Desert, Senegal River, Adrar Plateau","Western Sahara, Morocco, Algeria, Mali, Senegal"
Africa,Mauritius,-20.3,57.6,Port Louis,"1,269,668 (2021)","Mauritian Creole (86.5%), Bhojpuri (5.3%), French (4.1%), English (1.1%)",Mauritian rupee,"Black River Gorges National Park, Trou aux Cerfs, Île aux Cerfs","Mascarene Islands, Rodrigues",None
Africa,Morocco,31.7917,-7.0926,Rabat,"36,910,560 (2021)","Arabic (100%), Berber (33%), French (32%)",Moroccan Dirham,"Hassan II Mosque, Fes el Bali, Marrakech Medina","Atlas Mountains, Sahara Desert, Draa River","Algeria, Western Sahara, Spain (Ceuta and Melilla)"
Africa,Mozambique,-18.665695,35.529562,Maputo,"32,977,400 (2021)","Emakhuwa (25.3%), Xichangana (10.3%), Portuguese (8.8%), Manyika (7.9%), Sena (6.5%)",Mozambican Metical,"Gorongosa National Park, Bazaruto Archipelago, Maputo Elephant Reserve","Zambezi River, Lake Malawi, Niassa Reserve","Tanzania, Malawi, Zambia, Zimbabwe, Eswatini, South Africa"
Africa,Namibia,-22.9576,18.4904,Windhoek,"2,580,086 (2021)","Oshiwambo languages (48%), Nama/Damara languages (11%), Afrikaans (10%), Kavango languages (9%), Otjiherero languages (9%)",Namibian Dollar,"Etosha National Park, Skeleton Coast, Sossusvlei","Namib Desert, Fish River Canyon, Orange River","Angola, Zambia, Botswana, South Africa"
Africa,Niger,17.607789,8.081666,Niamey,"26,430,538 (2021)","French (13.1%), Hausa (22.7%), Zarma (11.3%), Tamajaq (8.3%)",West African CFA franc,"W National Park, Agadez Mosque, Zinder Great Mosque","Sahel Region, River Niger, Ténéré Desert","Algeria, Libya, Chad, Nigeria, Benin, Burkina Faso, Mali"
Africa,Nigeria,9.082,8.6753,Abuja,"211,400,708 (2021)","English (59.1%), Hausa (24.4%), Yoruba (16%), Igbo (3.3%)",Nigerian Naira,"Yankari National Park, Olumo Rock, Zuma Rock","Niger River, Lake Chad, Jos Plateau","Benin, Niger, Chad, Cameroon"
Africa,Rwanda,-1.9403,29.8739,Kigali,"13,381,947 (2021)","Kinyarwanda (84%), English (2%), French (1%), Swahili (1%)",Rwandan Franc,"Volcanoes National Park, Nyungwe Forest National Park, Akagera National Park","Lake Kivu, Virunga Mountains, Congo-Nile Divide","Uganda, Tanzania, Burundi, Democratic Republic of the Congo"
Africa,Sao Tome and Principe,0.1864,6.6131,Sao Tome,"221,429 (2021)",Portuguese (98.4%),Dobra,Obo National Park,"Pico Cao Grande, Lagoa Azul, Rolas","Equatorial Guinea, Gabon (across Gulf)"
Africa,Senegal,14.4974,-14.4524,Dakar,"16,705,608 (2021)","French, Wolof (33%)",CFA Franc,"Goree Island, Pink Lake","Saloum Delta, Senegal River","The Gambia, Guinea-Bissau, Mali, Mauritania"
Africa,Seychelles,-4.6796,55.492,Victoria,"98,462 (2021)",Seychellois Creole (91%),Seychellois rupee,"Aldabra Atoll, Anse Source d'Argent","Vallee de Mai, La Digue, Morne Seychellois",None
Africa,Sierra Leone,8.4606,-11.7799,Freetown,"8,154,429 (2021)",English (97.8%),Leone,"Banana Island, Tacugama Chimpanzee Sanctuary, Bunce Island","Mount Bintumani, Gola Forest Reserves, Tiwai Island","Guinea, Liberia"
Africa,Somalia,5.1521,46.1996,Mogadishu,"16,992,135 (2021)","Somali, Arabic (official)",Somali shilling,"Mogadishu Cathedral, Laas Geel","Jubba River, Nugaal Valley, Hobyo","Djibouti, Ethiopia, Kenya"
Africa,South Africa,-30.5595,22.9375,Pretoria,"60,917,676 (2021)","Zulu, Xhosa, Afrikaans, English",South African rand,"Table Mountain, Kruger National Park","Drakensberg, Kalahari Desert, Blyde River Canyon","Botswana, Eswatini, Lesotho, Mozambique, Namibia, Zimbabwe"
Africa,South Sudan,6.8769,31.3069,Juba,"12,342,285 (2021)","English, Arabic",South Sudanese pound,"Boma National Park, Nimule National Park","Sudd, Imatong Mountains, White Nile","Central African Republic, Democratic Republic of the Congo, Ethiopia, Kenya, Sudan, Uganda"
Africa,Sudan,15.45,30.15,Khartoum,"43,849,260 (2021)","Arabic (50%), Others (50%)",Sudanese pound (SDG),"Meroë Pyramids, Al-Zubair Pasha's Palace, Jebel Marra","Nile River, Red Sea, Nubian Desert, Sahara Desert","Central African Republic, Chad, Egypt, Eritrea, Ethiopia, Libya, South Sudan"
Africa,Tanzania,-6.369028,34.888822,Dodoma,"61,498,437 (2021)","Swahili (90%), English (10%)",Tanzanian shilling (TZS),"Mount Kilimanjaro, Serengeti National Park, Zanzibar Island","Lake Victoria, Serengeti Plain, Mount Kilimanjaro, Lake Tanganyika","Burundi, Democratic Republic of the Congo, Kenya, Malawi, Mozambique, Rwanda, Uganda"
Africa,Togo,8.619543,0.824782,Lomé,"8,574,117 (2021)","French (67%), Ewe (17%)",West African CFA franc (XOF),"Koutammakou, Fazao-Malfakassa National Park, Grand Marché","Lake Togo, Mono River, Togo Mountains, Togo Plateau","Benin, Burkina Faso, Ghana"
Africa,Tunisia,33.886917,9.537499,Tunis,"12,299,127 (2021)","Arabic (64%), French (23%)",Tunisian dinar (TND),"Carthage, Bardo Museum, Sidi Bou Said","Atlas Mountains, Sahara Desert, Mediterranean Sea","Algeria, Libya"
Africa,Uganda,1.373333,32.290275,Kampala,"47,086,000 (2021)","English (17%), Swahili (10%), Luganda (10%), Other (63%)",Ugandan shilling (UGX),"Bwindi Impenetrable National Park, Murchison Falls, Ssese Islands","Lake Victoria, Nile River, Rwenzori Mountains","Democratic Republic of the Congo, Kenya, Rwanda, South Sudan, Tanzania"
Africa,Zambia,-13.133897,27.849332,Lusaka,"19,623,293 (2021)","English (60%), Bemba (20%)",Zambian kwacha (ZMW),"Victoria Falls, Lower Zambezi National Park, Lake Kariba","Zambezi River, Lake Tanganyika, Lake Kariba, Victoria Falls","Angola, Democratic Republic of the Congo, Malawi, Mozambique, Namibia, Tanzania, Zimbabwe"
Africa,Zimbabwe,-19.0154,29.1549,Harare,15159624 (2020),"Shona (72%), Ndebele (16%)",USD,"Victoria Falls, Hwange National Park, Great Zimbabwe","Zambezi River, Victoria Falls, Lake Kariba","South Africa, Botswana, Zambia, Mozambique"
